from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:3059::0","ch:1:sloid:76193::4","2","540"
"ch:1:sloid:3059::0","ch:1:sloid:76193::5","2","540"
"ch:1:sloid:3059::0","ch:1:sloid:76193::50","2","600"
"ch:1:sloid:3059::0","ch:1:sloid:76193::51","2","360"
"ch:1:sloid:3059::0","ch:1:sloid:76195::0","2","180"
"ch:1:sloid:3059::0","ch:1:sloid:76195::1","2","180"
"ch:1:sloid:3059::0","ch:1:sloid:76195::50","2","180"
"ch:1:sloid:3059::1","ch:1:sloid:3059::0","2","60"
"ch:1:sloid:3059::1","ch:1:sloid:3059::2","2","60"
"ch:1:sloid:3059::1","ch:1:sloid:76193::0","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::1","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::2","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::3","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::4","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::5","2","540"
"ch:1:sloid:3059::1","ch:1:sloid:76193::50","2","600"
"ch:1:sloid:3059::1","ch:1:sloid:76193::51","2","360"
"ch:1:sloid:3059::1","ch:1:sloid:76195::0","2","180"
"ch:1:sloid:3059::1","ch:1:sloid:76195::1","2","180"
"ch:1:sloid:3059::1","ch:1:sloid:76195::50","2","180"
"ch:1:sloid:3059::2","ch:1:sloid:3059::0","2","60"
"ch:1:sloid:3059::2","ch:1:sloid:3059::1","2","60"
"ch:1:sloid:3059::2","ch:1:sloid:76193::0","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::1","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::2","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::3","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::4","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::5","2","540"
"ch:1:sloid:3059::2","ch:1:sloid:76193::50","2","600"
"ch:1:sloid:3059::2","ch:1:sloid:76193::51","2","360"
"ch:1:sloid:3059::2","ch:1:sloid:76195::0","2","180"
"ch:1:sloid:3059::2","ch:1:sloid:76195::1","2","180"
"ch:1:sloid:3059::2","ch:1:sloid:76195::50","2","180"
"ch:1:sloid:3060::0","ch:1:sloid:3198::50","2","60"
"ch:1:sloid:3060::0","ch:1:sloid:3198::51","2","60"
"ch:1:sloid:3060::0","ch:1:sloid:3198::52","2","60"
"ch:1:sloid:3062::0","ch:1:sloid:90601::50","2","30"
"ch:1:sloid:3062::0","ch:1:sloid:90601::51","2","30"
"ch:1:sloid:3062::0","ch:1:sloid:90601::53","2","30"
"ch:1:sloid:3062::0","ch:1:sloid:90601::54","2","30"
"ch:1:sloid:3062::1","ch:1:sloid:90601::50","2","30"
